update,mean_episode_reward,mean_episode_length,policy_loss,value_loss,entropy
1,0.3944444444444445,196.80555555555554,-0.005469957519380841,0.04241043749789242,1.4431660138070583
2,0.6525675675675676,200.0,0.00999126972986714,0.06203592012239182,1.4350180871346419
3,0.7380555555555557,196.91666666666666,-0.00573462835745886,0.05478722398402169,1.4093104470521212
4,1.5372727272727271,197.33333333333334,-0.006156457253382541,0.141516195028089,1.391052795574069
5,0.7865151515151515,194.6969696969697,-0.01200234133969335,0.053442186204312535,1.3752020439680885
6,1.2779999999999996,193.63333333333333,-0.006569240664248355,0.08850585657637566,1.3652279786765575
7,2.0386666666666664,189.83333333333334,-0.005454093341541011,0.1327051609987393,1.344515459612012
8,1.5928333333333329,199.9,0.01934491491000004,0.09668432306224371,1.317281805417117
9,1.7509374999999998,188.6875,-0.00650248824240407,0.11698253871873021,1.2662334330379963
10,2.587142857142856,186.53571428571428,-0.007854162075091153,0.14262461569160223,1.2461459543555975
11,3.464399999999999,182.4,0.012342818478560624,0.17218317863914898,1.2297416224199182
12,3.4083999999999985,189.0,-0.0057740758604589194,0.1704789708395872,1.2043657723595114
13,3.185599999999998,166.8,0.015062000965425634,0.1086413459646899,1.1863013768897337
14,2.888214285714284,188.64285714285714,-0.005755765778303612,0.16181219974532723,1.1618725396692753
15,4.029107142857141,181.46428571428572,-0.023811811122440678,0.2670640963513185,1.1466144638903
16,4.256999999999997,164.93333333333334,-0.005385821030358784,0.21822376712225378,1.1186885610222816
17,3.782777777777776,168.14814814814815,0.001115699517814552,0.17446568687335137,1.087913188864203
18,4.980624999999997,176.125,0.016468745964469716,0.28191487968604845,1.0808652586796705
19,3.650833333333331,166.7,0.03205628209980205,0.20414227392414913,1.084514907177757
20,4.538799999999998,168.76,-0.004550209392618854,0.22449561906978488,1.1000750102102757
21,3.5811538461538435,184.03846153846155,-0.005765419569797814,0.1955455073621124,1.0810647625476122
22,4.480399999999998,176.04,-0.006181398654007353,0.19312972552143037,1.0586451310664415
23,4.854999999999997,166.6086956521739,-0.01987725235384834,0.2859133324202369,1.0758219641797684
24,4.648599999999998,175.84,9.689851910533274e-05,0.24728894126875436,1.0394334503832985
25,4.0664583333333315,173.875,-0.006318657748017679,0.22620451905052452,1.022067963200457
26,5.128703703703701,162.33333333333334,-0.0007350093356388457,0.2719049507423359,1.0162637224968742
27,3.785384615384613,156.65384615384616,-0.0055002455483190715,0.2037520024459809,0.9932270729914308
28,3.628124999999997,168.83333333333334,0.015931321951725027,0.17005805343882563,0.9596801286234575
29,4.829999999999996,172.28,0.012319593916318435,0.21951875230297446,0.9515825580148136
30,5.236999999999996,153.48,-0.07445137657444267,0.2892190386705539,0.9301650655620238
31,4.800909090909087,186.45454545454547,-0.00461231700683129,0.2769293882884085,0.9278329238295555
32,5.582199999999996,147.84,0.008193971342681086,0.2311383529621012,0.9357650919872171
33,5.154761904761899,170.33333333333334,-0.004439065254700836,0.22018008306622505,0.8903081826865673
34,5.913103448275858,149.10344827586206,-0.003347872756421566,0.32616494153626263,0.8591651832684875
35,6.110869565217387,158.3913043478261,-0.005496397257957142,0.25191255169920623,0.8663122188299894
36,5.500624999999996,161.0,-0.06330811734968687,0.2793802603367059,0.8499057845157736
37,5.501199999999996,155.24,-0.005048030448961072,0.3102403120137751,0.8460587151348591
38,6.480499999999995,163.25,-0.004528974066488445,0.26720793754793704,0.8353105969727039
39,5.40458333333333,155.625,-0.005319658128428273,0.23499108687974513,0.8325328044593334
40,5.330599999999995,158.4,-0.048663015189744974,0.20385582640986233,0.7931494320578435
41,5.977380952380948,136.85714285714286,0.010540221009732169,0.1979945804718334,0.8150832398849375
42,6.3431578947368354,157.21052631578948,-0.003964586605434306,0.23379323654808104,0.811135658994317
43,5.984791666666662,152.875,0.01428606388542582,0.22794354121855148,0.8069803732282975
44,5.509347826086952,160.95652173913044,0.0073217855875982955,0.2174985798414769,0.8052347738514928
45,6.953333333333327,134.33333333333334,-0.005170035659830319,0.3250696719624102,0.8125886302441359
