update,mean_episode_reward,mean_episode_length,policy_loss,value_loss,entropy
1,0.7612500000000019,170.75,0.007913807448109282,0.08220207484041833,1.4699174007948708
2,-1.7314285714285678,195.14285714285714,-0.03317906496608082,0.012783903420152938,1.4702552556991577
3,-1.8042857142857112,195.14285714285714,0.005405687959864736,0.00941413715490318,1.4767927422243006
4,-0.6128571428571392,195.14285714285714,-0.03458576278267976,0.04144300712847754,1.4128431888187634
5,-1.8214285714285698,195.14285714285714,0.0014906655312241876,0.009352095590001601,1.4590846300125122
6,-1.684285714285711,195.14285714285714,0.0005829622352714924,0.0092088641544893,1.4474020021803238
7,-1.384285714285712,195.14285714285714,0.0022803371744778227,0.016999431988926304,1.4406084190396702
8,-1.6842857142857122,195.14285714285714,0.007907107403940138,0.004311831286887515,1.4345341053079157
9,-1.8171428571428545,195.14285714285714,-0.00020389623173019464,0.009307518750574673,1.4442988669171053
10,0.21428571428572032,195.14285714285714,-0.009088580250082648,0.05447206094600808,1.4382330477237701
11,-1.3971428571428535,195.14285714285714,-0.00080961493008277,0.018251337260795374,1.4642357387963463
12,-0.53571428571428,195.14285714285714,0.011930413551025969,0.03345512495348778,1.4261855386635836
13,-0.12428571428570949,195.14285714285714,0.00519379203700844,0.041313054011826514,1.3877177010564243
14,0.6975000000000038,170.75,-0.012783965582082816,0.04605794074835584,1.4216756049324484
15,0.6385714285714312,195.14285714285714,-0.002920221331912805,0.05111826659755453,1.4205852554124945
16,0.9787500000000047,170.75,-0.0259065665099222,0.0762203286319752,1.4020003939376158
17,1.5000000000000007,170.75,-0.0021770321832531516,0.058003878121620375,1.361243016579572
18,0.5914285714285777,195.14285714285714,0.005231179968070458,0.05575707388411769,1.3707475539516
19,4.1657142857142935,195.14285714285714,-0.01224829422940007,0.15908933989018859,1.3533316990908455
20,3.2850000000000037,170.75,-0.03788004882003674,0.09722916165585904,1.330401345210917
21,3.0112500000000026,170.75,-0.040271332884645634,0.11711322900715887,1.3314076416632707
22,2.8066666666666684,151.77777777777777,0.021035672240780994,0.07930846496909748,1.3171418528346455
23,3.202500000000006,170.75,0.018293139867155868,0.10248138778158189,1.2467566018595415
24,4.788,136.6,-0.00663765607511296,0.16346911638153389,1.281310135827345
25,2.5266666666666646,151.77777777777777,-0.023709475761279464,0.09018951225067105,1.327065853511586
26,3.9466666666666748,151.77777777777777,0.007323112297693596,0.12888271458830466,1.1673177384278353
27,2.6887500000000046,170.75,-0.004118060967063203,0.0968164673061384,1.2938927517217749
28,4.833750000000002,170.75,0.02412975301473018,0.14716683999251792,1.233072123983327
29,5.556666666666673,151.77777777777777,0.017357780967893845,0.19396104047978846,1.2241620526594275
30,3.1500000000000044,170.75,0.013516547219992122,0.09688086598180234,1.2639924743596245
31,5.674285714285718,195.14285714285714,-0.003471186905003646,0.13087526121286347,1.1574880147681517
32,6.70846153846154,105.07692307692308,-0.026754452627809608,0.19571872767718398,1.1123343706130981
33,3.3374999999999972,170.75,0.007503602140144829,0.09429827891290188,1.16650770166341
34,3.7612499999999986,170.75,0.00038455758134231847,0.13831458940780172,1.1455562360146467
35,5.175000000000007,170.75,0.0062678449047619805,0.1355233784929356,1.163409930818221
36,3.360000000000003,136.6,0.0022937099257593647,0.12180486652890549,1.0502217411994934
37,4.290000000000008,151.77777777777777,-0.00021839479450136423,0.11399726090295349,1.1639536093263065
38,3.170000000000005,151.77777777777777,-0.05307674016255666,0.10440274511518724,1.181347660282079
39,5.699999999999996,151.77777777777777,-0.005592491207233465,0.1923245693118695,1.0759901908390663
40,5.989090909090914,124.18181818181819,-0.012260379824403892,0.141886071082862,0.9167898989775601
41,5.949999999999996,113.83333333333333,0.021547410938450518,0.20341829079038956,1.0114876882118338
42,5.179999999999999,151.77777777777777,-0.0008590243181542438,0.1591274848974803,0.9763761732508155
43,7.052727272727279,124.18181818181819,-0.006716113421134651,0.23452361749813838,1.0124319055501152
44,2.9850000000000123,136.6,-0.03612948029630763,0.12456755944089416,0.986738222925102
45,6.863571428571428,97.57142857142857,-0.012312263839275521,0.2798803853802383,0.9691308447543312
46,8.319999999999997,113.83333333333333,0.006671493612777661,0.2430784923113499,0.8564181143746656
47,6.329999999999999,113.83333333333333,0.006280880168025547,0.15446451032424674,0.8850417943561778
48,6.215454545454537,124.18181818181819,-0.017469914068522698,0.1708944797899355,0.8842438205200083
49,5.326666666666668,151.77777777777777,-0.0188871373915497,0.1763664442114532,1.0754443915451275
50,5.072499999999998,113.83333333333333,-0.02828898265793481,0.14745650774634936,1.015932931619532
51,5.180999999999999,136.6,0.0016887077157769132,0.20703357783392728,0.9604235992712133
52,4.961250000000002,170.75,0.014182237983571695,0.1702073346823454,1.0944244370741003
53,5.8445454545454645,124.18181818181819,-0.0020151485223323107,0.14471990250817993,0.9514171253232395
54,6.402857142857148,97.57142857142857,0.010002413209911217,0.19043915874927358,0.9599573962828692
55,7.169999999999997,136.6,-0.01030970481909154,0.16434567268280423,0.9285719648880117
56,5.9999999999999964,136.6,0.005398224874892656,0.1439069780137609,0.9770324475624982
57,6.030000000000002,105.07692307692308,-0.00930056962020257,0.18729926141745903,0.6036136264310163
58,6.603000000000004,136.6,0.02405874032581992,0.18734572085497134,0.8422984849004185
59,8.300000000000002,113.83333333333333,0.006689790917067405,0.25969917097074147,0.9130381937412655
60,5.841000000000004,136.6,0.013197104412350147,0.15425484560375266,0.9845738682676765
61,6.445000000000001,113.83333333333333,-0.03854457846404437,0.21304962545742884,0.9429468657164013
62,8.307692307692305,105.07692307692308,0.004928651347975521,0.19859607520458453,0.8244881892905516
63,4.696666666666664,151.77777777777777,0.0036361624678487286,0.14133034353418386,0.6171057452173794
64,7.631999999999998,136.6,-0.022839659249738735,0.19447202042347805,0.9364631298710319
65,5.983636363636359,124.18181818181819,-0.015755794579437113,0.19758385642307985,0.8505923441227745
66,7.322499999999995,113.83333333333333,0.011680453810293008,0.17265319706433835,0.8626288087928996
67,5.7,151.77777777777777,-0.005888681495836114,0.17838300956303582,0.7749118173823637
68,7.065000000000003,136.6,0.01436073743560187,0.15571150063153574,0.6503422435592202
69,6.462000000000003,136.6,0.0013521490755545743,0.19264485267922282,0.7489403942052055
70,5.570999999999997,136.6,0.018728242310531,0.1326573424260406,0.7126473232227213
71,5.3909999999999965,136.6,-0.04093074465088327,0.22299000670147293,0.8395585691665902
72,7.397142857142863,97.57142857142857,-0.05100020119810805,0.2741442320539671,0.7690522981917157
73,6.829999999999995,151.77777777777777,0.021963374880964264,0.15340793538181222,0.6914573693100143
74,8.97857142857143,97.57142857142857,-0.005349885822985978,0.23518974457264824,0.7255431378588957
75,7.32900000000001,136.6,-0.004183364723918631,0.19220879693132112,0.7769018113613129
76,5.43666666666667,151.77777777777777,-0.010741511791232316,0.16158909008235617,0.6565060282454771
77,8.706666666666674,151.77777777777777,0.027379321304204708,0.21031281724572182,0.7801195365541121
78,5.631000000000012,136.6,-0.06775501367690809,0.17433613593525746,0.7200861996149316
79,7.511249999999996,85.375,0.0011043440180775873,0.22383789948242552,0.7754930485697353
80,5.300999999999994,136.6,0.004159140825162039,0.13846738028394825,0.7656646261320394
81,8.449285714285717,97.57142857142857,-0.008831369772772579,0.26579128672807095,0.6363973486072877
82,8.028461538461539,105.07692307692308,0.031568483120816594,0.20251254978425362,0.6279215849936008
83,7.131818181818187,124.18181818181819,0.03238537481314886,0.16164141915300312,0.8222304998951799
84,7.250000000000006,113.83333333333333,-0.03505417767583447,0.19503125516862116,0.9487120921120924
85,5.464285714285708,97.57142857142857,-0.03553223399007145,0.20080602503217318,0.6312932318405193
86,8.89,113.83333333333333,-0.008942165213417919,0.20771372518228257,0.5309318516622571
87,8.093571428571428,97.57142857142857,-0.0516768579973894,0.2722773727728054,0.8382165186545428
88,8.135454545454547,124.18181818181819,-0.022424601668985012,0.23493332476081216,0.7017247435801169
89,6.94384615384616,105.07692307692308,0.014223906218402964,0.21394367804339923,0.6183648407459259
90,5.070000000000007,136.6,-0.0001309717567089726,0.16255905516171718,0.7508293710210744
91,6.624000000000001,91.06666666666666,0.01241226477877182,0.22886478950214736,0.6475243752493578
92,8.445999999999998,91.06666666666666,-0.04845811699873165,0.2544737752965268,0.6763514788711772
93,7.418999999999997,136.6,-0.0024149651324157327,0.21062029328416376,0.7555553773965906
94,7.883076923076927,105.07692307692308,-0.01940482115948244,0.19731643642572796,0.7257717889459694
95,6.640588235294123,80.3529411764706,-0.01476376544793739,0.22786017778493903,0.838944376391523
96,9.179999999999994,113.83333333333333,-0.037672073909026736,0.3038578402141438,0.5267065291238182
97,7.397500000000004,113.83333333333333,-0.012352073839043869,0.16602037002003805,0.5809366024811479
98,7.299999999999997,113.83333333333333,0.01722417591030107,0.1991379341822775,0.5832625935401987
99,8.426000000000005,91.06666666666666,0.02056527863640119,0.26052734768018126,0.6441581121043247
100,7.404999999999997,113.83333333333333,0.024524358861312708,0.2084204760270522,0.8254823877530939
101,7.793571428571425,97.57142857142857,0.0008956443258177708,0.23671425325001644,0.7134003779467415
102,4.950000000000002,124.18181818181819,0.03281347254318569,0.23206003317061594,0.5667665991384316
103,5.412500000000015,113.83333333333333,-0.026077956933637753,0.2121764154666487,0.8885027051848524
104,3.4110000000000023,136.6,-0.03519583033288226,0.13531761088490704,0.6697920510983643
105,7.6000000000000005,113.83333333333333,-0.010055675013812588,0.23066377552116618,0.6790139109772795
106,7.865454545454548,124.18181818181819,-0.042081110905308056,0.2094769242000492,0.7231109449092079
107,7.3500000000000005,75.88888888888889,0.017635623897042346,0.2709737503901124,0.5662100087193882
108,7.05,113.83333333333333,-0.016563862021190718,0.19801901024766266,0.7464827292544001
109,7.342000000000003,91.06666666666666,-0.05264218026251696,0.24105202423079924,0.6218137475935852
110,8.494615384615383,105.07692307692308,-0.014643811880994369,0.22080949323614785,0.6019562664715683
111,7.576153846153842,105.07692307692308,-0.010517177932128748,0.22430029664846027,0.662128202178899
112,9.140769230769225,105.07692307692308,0.009816184461883763,0.21171016048859148,0.5781580223975813
113,7.797999999999994,91.06666666666666,0.025379655677277374,0.21676341515472708,0.5533489115974483
114,8.799230769230764,105.07692307692308,-0.03719805376878118,0.2809976227581501,0.807873291127822
115,9.098000000000003,91.06666666666666,0.006176548975738971,0.2904181193546666,0.5738701645065757
116,7.961538461538463,105.07692307692308,-0.030812832835020825,0.2721461893114097,0.6739319113685804
117,6.499999999999997,113.83333333333333,0.020529522902934867,0.19872866970870426,0.5189133007079363
118,7.045714285714284,97.57142857142857,-0.025377612656858915,0.22876902735408614,0.6668995513635523
119,8.052,91.06666666666666,-0.01959931241307298,0.24485165477894685,0.7243148763390148
120,8.473333333333331,75.88888888888889,-0.003445186433108414,0.27178089528837623,0.5924961998620454
121,8.224615384615387,105.07692307692308,0.005083003875744694,0.22675911575446234,0.590689990313395
122,8.397272727272725,124.18181818181819,0.02722859362085514,0.20972168045666287,0.7185920142253641
123,7.5790909090909215,124.18181818181819,-0.036648124826195484,0.21684351713424,0.6249129198053304
124,9.57,105.07692307692308,-0.011319243294351241,0.23106158302877755,0.541669334668447
125,9.276666666666669,75.88888888888889,0.0258283544509836,0.2865667548030615,0.7187555800465977
126,7.994999999999995,97.57142857142857,0.002636851989390219,0.19566019679255345,0.7307793559396968
127,8.429999999999996,105.07692307692308,-0.01750126710462877,0.22813066144419067,0.6515190355917987
128,7.0520000000000005,91.06666666666666,-0.0057670853189740546,0.2074290984447169,0.663388420772903
129,5.929999999999997,113.83333333333333,-0.005020125276025604,0.18154595978558064,0.6974147778442678
130,6.943846153846159,105.07692307692308,-0.01761511934455484,0.203698269526392,0.8039156663067201
131,8.943999999999996,91.06666666666666,0.027178808724891174,0.26533984740757766,0.6894190029843765
132,7.46399999999999,91.06666666666666,0.0028768788530107807,0.21307518700247302,0.5889346117482466
133,7.822499999999998,85.375,0.018775889204869813,0.24615006740821307,0.6320638813297538
134,5.845384615384613,105.07692307692308,-0.0011026104604003623,0.17595147311358766,0.7242424678714836
135,6.812999999999995,136.6,0.02501447085866376,0.2158667591455228,0.794424295425415
136,7.2975000000000065,113.83333333333333,-0.013820942504988873,0.21982564437477028,0.549139375853188
